temp,I_value,r_value,dp_value,target
30,20583117605456600000000000000000000000000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
31,38577013449144300000000000000000000000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
32,107052042784032000000000000000000000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
33,424438596400389000000000000000000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
34,2329785629203370000000000000000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
35,17218226663505100000000000000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
36,167135215179800000000000000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
37,2084270204508490000000000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
38,32738335792057900000000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
39,636307053830431000000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
40,15060742023200200000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
41,427892143010873000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
42,14403422023748000000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
43,567678671029760000000000000000000000000000000000000000000.00,0.000000000000000,1000,0
44,25916369018894600000000000000000000000000000000000000000.00,0.000000000000000,1000,0
45,1357140385079070000000000000000000000000000000000000000.00,0.000000000000000,1000,0
46,80792090296371900000000000000000000000000000000000000.00,0.000000000000000,1000,0
47,5423148105835970000000000000000000000000000000000000.00,0.000000000000000,1000,0
48,407393388395435000000000000000000000000000000000000.00,0.000000000000000,1000,0
49,34014471880613500000000000000000000000000000000000.00,0.000000000000000,1000,0
50,3136515932396190000000000000000000000000000000000.00,0.000000000000000,1000,0
51,317561597937106000000000000000000000000000000000.00,0.000000000000000,1000,0
52,35112605424014800000000000000000000000000000000.00,0.000000000000000,1000,0
53,4218784833695110000000000000000000000000000000.00,0.000000000000000,1000,0
54,548271890431080000000000000000000000000000000.00,0.000000000000000,1000,0
55,76741401529154500000000000000000000000000000.00,0.000000000000000,1000,0
56,11522912585263800000000000000000000000000000.00,0.000000000000000,1000,0
57,1849219239037960000000000000000000000000000.00,0.000000000000000,1000,0
58,316092097078485000000000000000000000000000.00,0.000000000000000,1000,0
59,57364709238678400000000000000000000000000.00,0.000000000000000,1000,0
60,11019999721968900000000000000000000000000.00,0.000000000000000,1000,0
61,2234647199861450000000000000000000000000.00,0.000000000000000,1000,0
62,477079007450497000000000000000000000000.00,0.000000000000000,1000,0
63,106969786192701000000000000000000000000.00,0.000000000000000,1000,0
64,25131793657154500000000000000000000000.00,0.000000000000000,1000,0
65,6173633548276100000000000000000000000.00,0.000000000000000,1000,0
66,1582462548928820000000000000000000000.00,0.000000000000000,1000,0
67,422448737300859000000000000000000000.00,0.000000000000000,1000,0
68,117242207469409000000000000000000000.00,0.000000000000000,1000,0
69,33769909771707200000000000000000000.00,0.000000000000000,1000,0
70,10079064307498000000000000000000000.00,0.000000000000000,1000,0
71,3112449789853060000000000000000000.00,0.000000000000000,1000,0
72,993024556373517000000000000000000.00,0.000000000000000,1000,0
73,326896720679217000000000000000000.00,0.000000000000000,1000,0
74,110892714849083000000000000000000.00,0.000000000000000,1000,0
75,38718245495860700000000000000000.00,0.000000000000000,1000,0
76,13898063936143800000000000000000.00,0.000000000000000,1000,0
77,5123306986052920000000000000000.00,0.000000000000000,1000,0
78,1937578802939260000000000000000.00,0.000000000000000,1000,0
79,751033451965412000000000000000.00,0.000000000000000,1000,0
80,298091224186290000000000000000.00,0.000000000000000,1000,0
81,121045316642495000000000000000.00,0.000000000000000,1000,0
82,50245036011173800000000000000.00,0.000000000000000,1000,0
83,21302945386735500000000000000.00,0.000000000000000,1000,0
84,9218470043348470000000000000.00,0.000000000000000,1000,0
85,4068530647625110000000000000.00,0.000000000000000,1000,0
86,1830110422645470000000000000.00,0.000000000000000,1000,0
87,838480748611812000000000000.00,0.000000000000000,1000,0
88,391032706063672000000000000.00,0.000000000000000,1000,0
89,185514374231196000000000000.00,0.000000000000000,1000,0
90,89482558479105500000000000.00,0.000000000000000,1000,0
91,43858959342041400000000000.00,0.000000000000000,1000,0
92,21832849854029500000000000.00,0.000000000000000,1000,0
93,11032591599278800000000000.00,0.000000000000000,1000,0
94,5656551407388800000000000.00,0.000000000000000,1000,0
95,2941262910760860000000000.00,0.000000000000000,1000,0
96,1550361568000530000000000.00,0.000000000000000,1000,0
97,828068339050760000000000.00,0.000000000000000,1000,0
98,447979222839207000000000.00,0.000000000000000,1000,0
99,245380264910067000000000.00,0.000000000000000,1000,0
100,136034716161491000000000.00,0.000000000000000,1000,0
101,76301477104623400000000.00,0.000000000000000,1000,0
102,43285256471793300000000.00,0.000000000000000,1000,0
